athlete_id,name,substance,sanction_start,sanction_end,summary,evidence_url,source
92754,Collin Chartier,EPO,2023-04-25,2026-04-25,Tested positive for EPO in a 2023 out-of-competition test and accepted a three-year ban.,https://ita.sport/news/the-ita-imposes-a-3-year-sanction-on-athlete-collin-chartier/,International Testing Agency
7817,Yuliya Yelistratova,EPO,2021-07-25,2026-07-24,Anti-doping rule violation (presence and use of EPO); banned for five years.,https://www.triathlon.org/anti-doping/doping-violations,World Triathlon / ITA
159412,Adnan Zaki,5-methylhexan-2-amine,2024-11-12,2026-11-11,Anti-doping rule violation (adverse analytical finding); banned for two years.,https://www.triathlon.org/anti-doping/doping-violations,World Triathlon / ITA
131324,Baqer Taher Idrees,Prednisone / prednisolone,2025-09-08,2027-09-07,Anti-doping rule violation (presence and use); banned for two years.,https://www.triathlon.org/anti-doping/doping-violations,World Triathlon / ITA
55646,Pedro Afonso Gaspar,Mesterolone,2025-07-31,2028-07-30,Anti-doping rule violation (presence and use of mesterolone); banned for three years.,https://www.triathlon.org/anti-doping/doping-violations,World Triathlon / ITA
14181,Igor Polyanskiy,EPO,2021-07-21,2024-07-21,Tested positive for EPO in a July 2021 out-of-competition test and received a three-year ban; results including Tokyo 2020 were disqualified.,https://www.triathlon.org/news/igor-polyanskiy-sanctioned-with-three-year-suspension-after-a-positive-doping-case,World Triathlon
234389026,Nina Kraft,EPO,2004-10-16,2006-10-16,Tested positive for EPO after winning the 2004 Ironman World Championship; admitted use and was stripped of the title and banned.,https://velo.outsideonline.com/news/ironman-winner-tests-positive-for-epo/,Velo
5367,Brigitte McMahon,EPO,2005-06-30,2007-06-30,Tested positive for EPO in a 2005 out-of-competition test and received a two-year ban; the case ended her career.,https://www.swissinfo.ch/eng/life-aging/olympic-champion-admits-taking-drugs/4595554,SWI swissinfo
5336,Dmitriy Gaag,EPO,2008-06-20,2010-06-20,Tested positive for EPO in a 2008 out-of-competition test and received a two-year ban.,https://triathlon.org/news/itu-imposes-2-year-ban-on-gaag,World Triathlon
443124802,Virginia Berasategui,EPO,2013-06-14,,Tested positive for EPO after winning the 2013 Bilbao Triathlon and admitted the violation.,https://www.triathlete.com/culture/news/newspaper-reports-virginia-berasategui-tests-positive/,Triathlete
30075,Michael Weiss,Blood doping,2011-11-28,2013-11-28,Received a two-year ban in 2011 after Austria's anti-doping agency found he had used a blood-doping laboratory.,https://www.espn.com/olympics/triathlon/story/_/id/7295886/austrian-triathlete-michael-weiss-gets-two-year-doping-ban,ESPN
5305,Tim Don,,2006-09-25,2006-12-25,Served a three-month suspension in 2006 for three missed out-of-competition tests (a whereabouts violation - not a positive test).,https://triathlon.org/news/don-suspended-for-missed-tests,World Triathlon
6713,Hongni Wang,Testosterone,2007-10-06,2009-10-05,Tested positive for testosterone metabolites in a 2007 out-of-competition test and served a two-year ban.,http://www.chinadaily.com.cn/sports/2007-10/11/content_6165479.htm,China Daily
15846,Lisa Marangon,Ostarine,2016-03-01,2020-03-01,Tested positive for ostarine at the 2016 Challenge Melbourne and received a four-year ban; she denied intentional use.,https://www.triathlete.com/culture/news/australian-pro-receive-4-year-ban-doping/,Triathlete
5318,Mariana Ohata,Furosemide,2009-10-02,2015-10-02,Tested positive for the masking agent furosemide in 2009 and received a six-year ban as a second offence.,https://web.archive.org/web/20091010221601/http://www.telegraph.co.uk/sport/othersports/triathlon/6269057/Brazilian-triathlete-Mariana-Ohata-banned-for-six-years-for-second-anti-doping-violation.html,The Telegraph
