athlete_id,discipline
64903,bike
123171,bike
79109,bike
6306,bike
159491,bike
19388,bike
79107,bike
141494,bike
10959,bike
142388,bike
159477,bike
172740,bike
156343,bike
142400,bike
172741,bike
167306,bike
123462,bike
17670,bike
127941,bike
55742,bike
125318,bike
115050,bike
50687,bike
116273,bike
139930,bike
127448,bike
182528,bike
134890,bike
136765,bike
162510,bike
162502,bike
172246,bike
172595,bike
142128,bike
142128,run
131527,bike
131527,run
184471,bike
184471,run
162523,bike
165716,bike
83895,bike
184460,bike
167628,bike
106358,bike
119200,bike
115034,bike
124962,bike
69374,bike
12785,bike
84982,bike
11878,bike
135443,bike
162670,bike
134890,bike
90995,bike
190562,bike
142116,bike
172595,bike
190563,bike
172246,bike
190564,bike
190565,bike
190566,bike
190567,bike
190568,bike
190569,bike
190570,bike
131527,bike
190571,bike
190572,bike
190573,bike
172249,bike
190574,bike
190575,bike
194861,bike
83371,bike
141785,bike
136125,bike
73380,bike
198189,bike
141339,bike
182517,bike
164370,bike
194409,bike
194410,bike
166453,bike
194411,bike
194412,bike
194413,bike
140163,bike
194414,bike
193117,bike
194415,bike
194416,bike
194417,bike
194418,bike
187916,run
198550,bike
198551,bike
198552,bike
174983,bike
168911,bike
162109,bike
169622,bike
179337,bike
189045,bike
166395,bike
189018,bike
170633,bike
161313,bike
198158,bike
198116,bike
198573,bike
178043,run
195917,run
172084,bike
172084,run
195917,run
129874,bike
167595,bike
115733,bike
200975,bike
115545,bike
96506,bike
23545,bike
158274,bike
136130,bike
186911,bike
57898,bike
151809,bike
163676,bike
169659,bike
180807,bike
141381,bike
167207,bike
159170,bike
158314,bike
70058,bike
123532,bike
104244,bike
201727,bike
158312,bike
158486,bike
139723,bike
27007,bike
158448,bike
139717,bike
152763,run
201941,run
122559,run
15356,bike
21346,bike
5336,overall
123420,swim
56970,run
72502,run
71103,bike
57262,bike
19231,bike
5341,bike
153767,swim
8091,run
8081,run
24564,run
35214,run
8079,run
8093,run
29406,run
153782,run
123405,run
20855,swim
30481,run
6202,swim
11376,bike
6881,swim
6881,run
21970,run
21966,run
5804,bike
5331,bike
16876,bike
6831,bike
16885,bike
11027,bike
6832,bike
10918,bike
16884,bike
10060,bike
70014,bike
70015,bike
6829,bike
70016,bike
16878,bike
7818,bike
16875,bike
6488,bike
6786,bike
10914,bike
6798,bike
70018,bike
16892,bike
18956,bike
16888,bike
51721,bike
23534,bike
11042,bike
11046,bike
16886,bike
23535,bike
27154,bike
19226,bike
29727,swim
13300,bike
10858,bike
5551,bike
10530,bike
5331,bike
10579,bike
6104,bike
10141,bike
5755,bike
39563,bike
18576,bike
6978,bike
10556,bike
11803,bike
6934,bike
17199,bike
11059,bike
73138,bike
10166,bike
41820,bike
24960,bike
7775,bike
21747,bike
31735,bike
6997,bike
13212,bike
12750,bike
13363,bike
26279,bike
23357,bike
10849,bike
32963,bike
31439,bike
30753,bike
43037,bike
12699,run
47315,bike
46534,bike
39575,bike
55124,bike
55127,bike
55133,bike
55088,bike
64739,bike
5357,bike
17666,bike
71975,run
16522,run
71202,run
16522,run
71202,run
81262,run
79730,run
77444,bike
77772,bike
91792,bike
77674,bike
91794,bike
8993,bike
89142,bike
30382,bike
100129,bike
100148,bike
111010,run
111011,run
96552,run
110588,run
110589,run
79973,bike
101284,bike
83180,bike
35026,bike
101285,bike
101273,bike
93109,bike
83179,bike
101287,bike
111069,bike
82859,swim
80677,swim
108244,bike
16569,bike
21953,bike
91684,bike
102315,bike
91677,bike
102301,bike
102306,bike
102306,run
98062,bike
91685,bike
91693,bike
125038,bike
138086,bike
91873,bike
141616,bike
141617,bike
141618,bike
78765,bike
88929,bike
142121,bike
64419,bike
142122,bike
142123,bike
27314,bike
142124,bike
13276,bike
142125,bike
84617,bike
116316,bike
63673,bike
158587,bike
101196,bike
106301,bike
164144,bike
164145,bike
158671,bike
164146,bike
142828,swim
144208,swim
135429,swim
162549,swim
143539,swim
165278,swim
131932,swim
143171,swim
165298,swim
142895,swim
143420,swim
165288,swim
165246,swim
165124,swim
162964,swim
135690,swim
132156,swim
132306,swim
143835,swim
162696,swim
132662,swim
165090,swim
164995,swim
165245,swim
165289,swim
165196,swim
162902,swim
165333,swim
131930,swim
140490,swim
165285,swim
165040,swim
165293,swim
165410,swim
165310,swim
165302,swim
156590,swim
162709,swim
165493,swim
165300,swim
165309,swim
142825,swim
165295,swim
165307,swim
165593,swim
165308,swim
164870,swim
165299,swim
165311,swim
162901,swim
165314,swim
165316,swim
162410,swim
162413,swim
167074,swim
165315,swim
165312,swim
165286,swim
165304,swim
92975,bike
64654,bike
64654,run
93973,bike
10419,bike
165556,bike
139162,bike
170610,bike
170611,bike
170612,bike
170613,bike
170614,bike
52514,swim
52514,run
11001,swim
11001,run
71738,swim
71738,run
73377,swim
73377,run
92306,swim
92306,run
71340,swim
71340,run
12773,swim
12773,run
80666,swim
80666,run
110784,swim
110784,run
125038,swim
125038,run
76425,swim
76425,run
11408,swim
11408,run
30485,swim
30485,run
96040,swim
96040,run
6186,swim
6186,run
41831,swim
41831,run
90031,swim
90031,run
106414,swim
106414,run
94563,swim
94563,run
103764,swim
103764,run
46214,swim
46214,run
127536,swim
127536,run
33705,swim
33705,run
124067,swim
124067,run
106438,swim
106438,run
41870,swim
88205,swim
11092,swim
96447,bike
111403,bike
135875,bike
137908,bike
168516,bike
167639,bike
124703,bike
139848,bike
125024,bike
116413,bike
136239,bike
91531,bike
172738,bike
172571,bike
164542,bike
121978,bike
142391,bike
139847,bike
19419,bike
172739,bike
184175,bike
112644,bike
161941,bike
182527,bike
78765,bike
184500,bike
151112,bike
184491,bike
162501,bike
142124,bike
88929,bike
186811,bike
184287,bike
184492,bike
42166,bike
184289,bike
184493,bike
13276,bike
27314,bike
27309,bike
101050,bike
184494,bike
184495,bike
184496,bike
184497,bike
27774,bike
184501,bike
184502,bike
184502,run
184503,bike
111403,bike
167638,bike
184459,bike
167211,run
178075,run
78765,bike
184491,bike
190551,bike
88929,bike
184374,bike
172250,bike
190552,bike
184287,bike
184298,bike
184289,bike
171042,bike
90992,bike
